date,capital,position,position_value,total_assets,signal,strategy,dataset
2015-01-01,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-02,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-05,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-06,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-07,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-08,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-09,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-12,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-13,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-14,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-15,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-16,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-19,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-20,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-21,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-22,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-23,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-26,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-27,100000.0,0,0.0,100000.0,hold,MA Cross,train
2015-01-28,100000.0,0,0.0,100000.0,sell,MA Cross,train
2015-01-29,100000.0,0,0.0,100000.0,sell,MA Cross,train
2015-01-30,100000.0,0,0.0,100000.0,sell,MA Cross,train
2015-02-02,100000.0,0,0.0,100000.0,sell,MA Cross,train
2015-02-03,100000.0,0,0.0,100000.0,sell,MA Cross,train
2015-02-04,100000.0,0,0.0,100000.0,sell,MA Cross,train
2015-02-05,90000.099351726,3145,9999.900648273995,100000.0,buy,MA Cross,train
2015-02-06,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-09,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-10,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-11,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-12,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-13,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-16,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-17,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-18,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-19,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-20,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-23,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-24,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-25,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-26,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-02-27,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-02,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-03,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-04,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-05,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-06,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-09,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-10,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-11,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-12,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-13,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-16,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-17,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-18,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-19,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-20,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-23,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-24,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-25,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-26,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-27,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-30,99846.52416441074,0,0.0,99846.52416441074,sell,MA Cross,train
2015-03-31,89861.97081530564,3329,9984.553349105105,99846.52416441074,buy,MA Cross,train
2015-04-01,89861.97081530564,3329,10412.407101861636,100274.37791716728,buy,MA Cross,train
2015-04-02,89861.97081530564,3329,10430.187286300012,100292.15810160566,buy,MA Cross,train
2015-04-03,89861.97081530564,3329,10327.47943661789,100189.45025192352,buy,MA Cross,train
2015-04-06,89861.97081530564,3329,10129.602594177459,99991.5734094831,buy,MA Cross,train
2015-04-07,89861.97081530564,3329,10046.115352101226,99908.08616740687,buy,MA Cross,train
2015-04-08,89861.97081530564,3329,9850.130446319747,99712.10126162539,buy,MA Cross,train
2015-04-09,89861.97081530564,3329,9699.474184281085,99561.44499958673,buy,MA Cross,train
2015-04-10,89861.97081530564,3329,10196.864273599414,100058.83508890506,buy,MA Cross,train
2015-04-13,89861.97081530564,3329,9989.421642928633,99851.39245823427,buy,MA Cross,train
2015-04-14,89861.97081530564,3329,9926.306095944954,99788.27691125059,buy,MA Cross,train
2015-04-15,89861.97081530564,3329,9931.432597760186,99793.40341306583,buy,MA Cross,train
2015-04-16,89861.97081530564,3329,10079.50159933729,99941.47241464294,buy,MA Cross,train
2015-04-17,89861.97081530564,3329,10159.214730289474,100021.18554559512,buy,MA Cross,train
2015-04-20,89861.97081530564,3329,10179.82742283723,100041.79823814287,buy,MA Cross,train
2015-04-21,89861.97081530564,3329,10060.989539871185,99922.96035517682,buy,MA Cross,train
2015-04-22,89861.97081530564,3329,10120.43801068159,99982.40882598724,buy,MA Cross,train
2015-04-23,89861.97081530564,3329,9920.154075283133,99782.12489058878,buy,MA Cross,train
2015-04-24,99764.21013396332,0,0.0,99764.21013396332,sell,MA Cross,train
2015-04-27,99764.21013396332,0,0.0,99764.21013396332,sell,MA Cross,train
2015-04-28,99764.21013396332,0,0.0,99764.21013396332,sell,MA Cross,train
2015-04-29,89790.86312959586,3178,9973.347004367462,99764.21013396332,buy,MA Cross,train
