strategy,train_return,train_sharpe,train_maxdd,test_return,test_sharpe,test_maxdd
MA Double,6.607865069705279,-0.626268515130671,-4.504007586219212,-1.6114165543440178,-1.7349067594985406,-3.5859793467480485
Bollinger Band,-1.812549407752478,-1.8455812981971065,-3.6863443210981304,0.4837520622222509,-1.6884705831082063,-2.5331166219441448
TA Strengthened,0.5288214900749444,-3.3551847825070054,-0.9634835640044163,-0.15088599753758172,-5.348657139177753,-0.8187958134944492
MACD Cross,5.358998599978134,-0.7430018152077158,-4.434665964303457,-1.977740665714853,-1.517032051992686,-3.6000641716967214
Bollinger Squeeze,0.0,-4.646870357913261e+16,0.0,0.0,0.0,0.0
Volume Confirm,7.011166191025696,-0.7116093736852113,-4.133369929757553,-1.452287009191903,-1.7174501533331765,-2.557618799834331
MA Triple,2.11262045962151,-1.1016898270308735,-3.20677205287253,-0.9584536855456972,-2.3786090244136435,-1.7610492472418027
MACD Hist,5.358998599978134,-0.7430018152077158,-4.434665964303457,-1.977740665714853,-1.517032051992686,-3.6000641716967214
TA Confluence,8.589991732144554,-0.6739127030258069,-2.4291454285608514,-2.1301133358035442,-1.9333526613277396,-2.5207488812468726
MA+RSI Combo,4.558709233677335,-1.137349097348692,-2.1929195412279454,-0.6099146130490263,-1.7648695742607081,-2.421403501345744
MA Cross,3.6049138398775105,-0.880222368802958,-5.051394326415477,-3.2905259951134065,-1.9617634728101634,-4.535732135133251
RSI Extreme,7.728067553590809,-0.73357570223213,-2.2213512678398564,-2.0372436554910527,-1.518633457991589,-3.3308407923838823
